INFO:arc_agi.scorecard:Initialized ScorecardManager with idle_for=0:15:00 and max_open_for=3 days, 0:00:00
2026-08-11 10:41:23 | INFO | Got anonymous API key: e735debb-533d-4a97-9e32-3f3703a12ad8
Got anonymous API key: e735debb-533d-4a97-9e32-3f3703a12ad8
2026-08-11 10:41:23 | INFO | You can register for an API key at https://three.arcprize.org
You can register for an API key at https://three.arcprize.org
2026-08-11 10:41:24 | INFO | Successfully fetched 25 environment(s) from API
Successfully fetched 25 environment(s) from API
=== [1/1] cn04 ===
2026-08-11 10:41:24 | INFO | Created new scorecard: ec8672e3-e4d3-4f72-b810-ea4dde42b314
Created new scorecard: ec8672e3-e4d3-4f72-b810-ea4dde42b314
2026-08-11 10:41:25 | INFO | Successfully fetched metadata for game cn04
Successfully fetched metadata for game cn04
2026-08-11 10:41:26 | INFO | Successfully downloaded game cn04 (version: 2fe56bfb) to environment_files\cn04\2fe56bfb
Successfully downloaded game cn04 (version: 2fe56bfb) to environment_files\cn04\2fe56bfb
2026-08-11 10:41:26 | INFO | Successfully loaded game class Cn04 from environment_files\cn04\2fe56bfb\cn04.py
Successfully loaded game class Cn04 from environment_files\cn04\2fe56bfb\cn04.py
cn04 - RESET: count 0, levels completed 0, avg fps 0.0)
cn04 - ACTION1: count 20, levels completed 0, avg fps 19.42)
cn04 - ACTION2: count 21, levels completed 0, avg fps 19.44)
cn04 - ACTION3: count 22, levels completed 0, avg fps 19.47)
cn04 - ACTION1: count 23, levels completed 0, avg fps 19.66)
cn04 - ACTION1: count 24, levels completed 0, avg fps 19.67)
cn04 - ACTION1: count 25, levels completed 0, avg fps 19.53)
cn04 - ACTION1: count 26, levels completed 0, avg fps 19.4)
cn04 - ACTION1: count 27, levels completed 0, avg fps 19.29)
cn04 - ACTION1: count 28, levels completed 0, avg fps 19.31)
cn04 - ACTION2: count 29, levels completed 0, avg fps 19.21)
cn04 - ACTION2: count 30, levels completed 0, avg fps 19.23)
cn04 - ACTION2: count 31, levels completed 0, avg fps 19.02)
cn04 - ACTION2: count 32, levels completed 0, avg fps 18.93)
cn04 - ACTION2: count 33, levels completed 0, avg fps 19.19)
cn04 - ACTION2: count 34, levels completed 0, avg fps 18.89)
cn04 - ACTION2: count 35, levels completed 0, avg fps 18.82)
cn04 - ACTION2: count 36, levels completed 0, avg fps 18.75)
cn04 - ACTION2: count 37, levels completed 0, avg fps 18.88)
cn04 - ACTION2: count 38, levels completed 0, avg fps 18.81)
cn04 - ACTION2: count 39, levels completed 0, avg fps 18.75)
cn04 - ACTION2: count 40, levels completed 0, avg fps 18.69)
cn04 - ACTION5: count 41, levels completed 0, avg fps 18.72)
cn04 - ACTION3: count 42, levels completed 0, avg fps 18.58)
cn04 - ACTION1: count 43, levels completed 0, avg fps 18.61)
cn04 - ACTION1: count 44, levels completed 0, avg fps 18.57)
cn04 - ACTION4: count 45, levels completed 0, avg fps 18.6)
cn04 - ACTION1: count 46, levels completed 0, avg fps 18.62)
cn04 - ACTION3: count 47, levels completed 0, avg fps 18.65)
cn04 - ACTION1: count 48, levels completed 0, avg fps 18.75)
cn04 - ACTION4: count 49, levels completed 0, avg fps 18.85)
cn04 - ACTION1: count 50, levels completed 0, avg fps 18.8)
cn04 - ACTION1: count 51, levels completed 0, avg fps 18.82)
cn04 - ACTION1: count 52, levels completed 0, avg fps 18.84)
cn04 - ACTION1: count 53, levels completed 0, avg fps 18.79)
cn04 - ACTION1: count 54, levels completed 0, avg fps 18.82)
cn04 - ACTION1: count 55, levels completed 0, avg fps 18.77)
cn04 - ACTION1: count 56, levels completed 0, avg fps 18.86)
cn04 - ACTION2: count 57, levels completed 0, avg fps 18.75)
cn04 - ACTION1: count 58, levels completed 0, avg fps 18.71)
cn04 - ACTION4: count 59, levels completed 0, avg fps 18.79)
cn04 - ACTION2: count 60, levels completed 0, avg fps 18.81)
cn04 - ACTION1: count 61, levels completed 0, avg fps 18.77)
cn04 - ACTION2: count 62, levels completed 0, avg fps 18.9)
cn04 - ACTION3: count 63, levels completed 0, avg fps 18.75)
cn04 - ACTION1: count 64, levels completed 0, avg fps 18.82)
cn04 - ACTION2: count 65, levels completed 0, avg fps 18.9)
cn04 - ACTION1: count 66, levels completed 0, avg fps 18.86)
cn04 - ACTION4: count 67, levels completed 0, avg fps 18.82)
cn04 - ACTION2: count 68, levels completed 0, avg fps 18.94)
cn04 - ACTION2: count 69, levels completed 0, avg fps 18.96)
cn04 - ACTION2: count 70, levels completed 0, avg fps 18.92)
cn04 - ACTION2: count 71, levels completed 0, avg fps 18.93)
cn04 - ACTION2: count 72, levels completed 0, avg fps 18.9)
cn04 - ACTION2: count 73, levels completed 0, avg fps 18.77)
cn04 - ACTION2: count 74, levels completed 0, avg fps 18.78)
cn04 - ACTION2: count 75, levels completed 0, avg fps 18.84)
cn04 - RESET: count 76, levels completed 0, avg fps 19.1)
cn04 - ACTION5: count 77, levels completed 0, avg fps 19.35)
cn04 - ACTION2: count 78, levels completed 0, avg fps 19.21)
cn04 - ACTION4: count 79, levels completed 0, avg fps 19.27)
cn04 - ACTION4: count 80, levels completed 0, avg fps 19.46)
cn04 - ACTION4: count 81, levels completed 0, avg fps 19.42)
cn04 - ACTION4: count 82, levels completed 0, avg fps 19.43)
cn04 - ACTION4: count 83, levels completed 0, avg fps 19.48)
cn04 - ACTION4: count 84, levels completed 0, avg fps 19.58)
cn04 - ACTION2: count 85, levels completed 0, avg fps 19.54)
cn04 - ACTION3: count 86, levels completed 0, avg fps 19.5)
cn04 - ACTION3: count 87, levels completed 0, avg fps 19.46)
cn04 - ACTION4: count 88, levels completed 0, avg fps 19.47)
cn04 - ACTION3: count 89, levels completed 0, avg fps 19.43)
cn04 - ACTION2: count 90, levels completed 0, avg fps 19.44)
cn04 - ACTION4: count 91, levels completed 0, avg fps 19.53)
cn04 - ACTION3: count 92, levels completed 0, avg fps 19.62)
cn04 - ACTION4: count 93, levels completed 0, avg fps 19.7)
cn04 - ACTION1: count 94, levels completed 0, avg fps 19.58)
cn04 - ACTION3: count 95, levels completed 0, avg fps 19.67)
cn04 - ACTION4: count 96, levels completed 0, avg fps 19.71)
cn04 - ACTION4: count 97, levels completed 0, avg fps 19.6)
cn04 - ACTION4: count 98, levels completed 0, avg fps 19.56)
cn04 - ACTION2: count 99, levels completed 0, avg fps 19.6)
cn04 - ACTION2: count 100, levels completed 0, avg fps 19.57)
cn04 - ACTION2: count 101, levels completed 0, avg fps 19.54)
cn04 - ACTION2: count 102, levels completed 0, avg fps 19.54)
cn04 - ACTION2: count 103, levels completed 0, avg fps 19.51)
cn04 - ACTION1: count 104, levels completed 0, avg fps 19.55)
cn04 - ACTION2: count 105, levels completed 0, avg fps 19.52)
cn04 - ACTION3: count 106, levels completed 0, avg fps 19.49)
cn04 - ACTION1: count 107, levels completed 0, avg fps 19.63)
cn04 - ACTION1: count 108, levels completed 0, avg fps 19.57)
cn04 - ACTION1: count 109, levels completed 0, avg fps 19.5)
cn04 - ACTION1: count 110, levels completed 0, avg fps 19.5)
cn04 - ACTION1: count 111, levels completed 0, avg fps 19.47)
cn04 - ACTION1: count 112, levels completed 0, avg fps 19.48)
cn04 - ACTION2: count 113, levels completed 0, avg fps 19.45)
cn04 - ACTION2: count 114, levels completed 0, avg fps 19.39)
cn04 - ACTION2: count 115, levels completed 0, avg fps 19.36)
cn04 - ACTION2: count 116, levels completed 0, avg fps 19.33)
cn04 - ACTION2: count 117, levels completed 0, avg fps 19.31)
cn04 - ACTION2: count 118, levels completed 0, avg fps 19.28)
cn04 - ACTION2: count 119, levels completed 0, avg fps 19.26)
cn04 - ACTION2: count 120, levels completed 0, avg fps 19.23)
cn04 - ACTION2: count 121, levels completed 0, avg fps 19.24)
cn04 - ACTION2: count 122, levels completed 0, avg fps 19.18)
cn04 - ACTION2: count 123, levels completed 0, avg fps 19.22)
cn04 - ACTION2: count 124, levels completed 0, avg fps 19.17)
cn04 - ACTION5: count 125, levels completed 0, avg fps 19.14)
cn04 - ACTION5: count 126, levels completed 0, avg fps 19.15)
cn04 - ACTION1: count 127, levels completed 0, avg fps 19.18)
cn04 - ACTION1: count 128, levels completed 0, avg fps 19.16)
cn04 - ACTION1: count 129, levels completed 0, avg fps 19.17)
cn04 - ACTION1: count 130, levels completed 0, avg fps 19.17)
cn04 - ACTION3: count 131, levels completed 0, avg fps 19.21)
cn04 - ACTION3: count 132, levels completed 1, avg fps 19.19)
cn04 - ACTION1: count 133, levels completed 1, avg fps 19.3)
cn04 - ACTION5: count 134, levels completed 1, avg fps 19.23)
cn04 - ACTION2: count 135, levels completed 1, avg fps 19.18)
cn04 - ACTION4: count 136, levels completed 1, avg fps 19.1)
cn04 - ACTION4: count 137, levels completed 1, avg fps 19.03)
cn04 - ACTION4: count 138, levels completed 1, avg fps 18.96)
cn04 - ACTION4: count 139, levels completed 1, avg fps 18.91)
cn04 - ACTION4: count 140, levels completed 1, avg fps 18.87)
cn04 - ACTION4: count 141, levels completed 1, avg fps 18.8)
cn04 - ACTION4: count 142, levels completed 1, avg fps 18.71)
cn04 - ACTION4: count 143, levels completed 1, avg fps 18.67)
cn04 - ACTION4: count 144, levels completed 1, avg fps 18.63)
cn04 - ACTION2: count 145, levels completed 1, avg fps 18.59)
cn04 - ACTION4: count 146, levels completed 1, avg fps 18.53)
cn04 - ACTION4: count 147, levels completed 1, avg fps 18.49)
cn04 - ACTION4: count 148, levels completed 1, avg fps 18.43)
cn04 - ACTION4: count 149, levels completed 1, avg fps 18.4)
cn04 - ACTION4: count 150, levels completed 1, avg fps 18.36)
cn04 - ACTION4: count 151, levels completed 1, avg fps 18.21)
cn04 - ACTION5: count 152, levels completed 1, avg fps 18.16)
cn04 - ACTION5: count 153, levels completed 1, avg fps 18.13)
cn04 - ACTION5: count 154, levels completed 1, avg fps 18.1)
cn04 - ACTION5: count 155, levels completed 1, avg fps 18.09)
cn04 - ACTION5: count 156, levels completed 1, avg fps 18.06)
cn04 - ACTION5: count 157, levels completed 1, avg fps 18.0)
cn04 - ACTION5: count 158, levels completed 1, avg fps 17.97)
cn04 - ACTION5: count 159, levels completed 1, avg fps 17.95)
cn04 - ACTION5: count 160, levels completed 1, avg fps 17.94)
cn04 - ACTION5: count 161, levels completed 1, avg fps 17.87)
cn04 - ACTION5: count 162, levels completed 1, avg fps 17.86)
cn04 - ACTION5: count 163, levels completed 1, avg fps 17.85)
cn04 - ACTION5: count 164, levels completed 1, avg fps 17.79)
cn04 - ACTION5: count 165, levels completed 1, avg fps 17.76)
cn04 - ACTION5: count 166, levels completed 1, avg fps 17.74)
cn04 - ACTION5: count 167, levels completed 1, avg fps 17.77)
cn04 - ACTION5: count 168, levels completed 1, avg fps 17.68)
cn04 - ACTION5: count 169, levels completed 1, avg fps 17.7)
cn04 - ACTION5: count 170, levels completed 1, avg fps 17.63)
cn04 - ACTION5: count 171, levels completed 1, avg fps 17.61)
cn04 - ACTION5: count 172, levels completed 1, avg fps 17.59)
cn04 - ACTION5: count 173, levels completed 1, avg fps 17.56)
cn04 - ACTION5: count 174, levels completed 1, avg fps 17.56)
cn04 - ACTION5: count 175, levels completed 1, avg fps 17.54)
cn04 - ACTION5: count 176, levels completed 1, avg fps 17.51)
cn04 - ACTION1: count 177, levels completed 1, avg fps 17.47)
cn04 - ACTION3: count 178, levels completed 1, avg fps 17.45)
cn04 - ACTION1: count 179, levels completed 1, avg fps 17.41)
cn04 - ACTION2: count 180, levels completed 1, avg fps 17.37)
cn04 - ACTION1: count 181, levels completed 1, avg fps 17.34)
cn04 - ACTION3: count 182, levels completed 1, avg fps 17.3)
cn04 - ACTION2: count 183, levels completed 1, avg fps 17.26)
cn04 - ACTION2: count 184, levels completed 1, avg fps 17.28)
cn04 - ACTION2: count 185, levels completed 1, avg fps 17.31)
cn04 - ACTION2: count 186, levels completed 1, avg fps 17.32)
cn04 - ACTION2: count 187, levels completed 1, avg fps 17.35)
cn04 - ACTION1: count 188, levels completed 1, avg fps 17.33)
cn04 - ACTION2: count 189, levels completed 1, avg fps 17.28)
cn04 - ACTION1: count 190, levels completed 1, avg fps 17.24)
cn04 - ACTION3: count 191, levels completed 1, avg fps 17.22)
cn04 - ACTION2: count 192, levels completed 1, avg fps 17.24)
cn04 - ACTION3: count 193, levels completed 1, avg fps 17.2)
cn04 - ACTION2: count 194, levels completed 1, avg fps 17.14)
cn04 - ACTION2: count 195, levels completed 1, avg fps 17.09)
cn04 - ACTION2: count 196, levels completed 1, avg fps 17.12)
cn04 - ACTION3: count 197, levels completed 1, avg fps 17.09)
cn04 - ACTION3: count 198, levels completed 1, avg fps 17.14)
cn04 - ACTION2: count 199, levels completed 1, avg fps 17.13)
cn04 - ACTION2: count 200, levels completed 1, avg fps 17.15)
cn04 - ACTION2: count 201, levels completed 1, avg fps 17.18)
cn04 - ACTION2: count 202, levels completed 1, avg fps 17.21)
cn04 - ACTION2: count 203, levels completed 1, avg fps 17.17)
cn04 - ACTION2: count 204, levels completed 1, avg fps 17.23)
cn04 - ACTION2: count 205, levels completed 1, avg fps 17.26)
cn04 - ACTION2: count 206, levels completed 1, avg fps 17.24)
cn04 - ACTION2: count 207, levels completed 1, avg fps 17.28)
cn04 - ACTION2: count 208, levels completed 1, avg fps 17.29)
cn04 - ACTION2: count 209, levels completed 1, avg fps 17.32)
cn04 - ACTION2: count 210, levels completed 1, avg fps 17.33)
cn04 - ACTION2: count 211, levels completed 1, avg fps 17.35)
cn04 - ACTION2: count 212, levels completed 1, avg fps 17.38)
cn04 - ACTION2: count 213, levels completed 1, avg fps 17.33)
cn04 - ACTION2: count 214, levels completed 1, avg fps 17.36)
cn04 - ACTION2: count 215, levels completed 1, avg fps 17.42)
cn04 - ACTION2: count 216, levels completed 1, avg fps 17.46)
cn04 - ACTION2: count 217, levels completed 1, avg fps 17.47)
cn04 - ACTION2: count 218, levels completed 1, avg fps 17.5)
cn04 - ACTION2: count 219, levels completed 1, avg fps 17.52)
cn04 - ACTION2: count 220, levels completed 1, avg fps 17.54)
cn04 - ACTION2: count 221, levels completed 1, avg fps 17.55)
cn04 - ACTION2: count 222, levels completed 1, avg fps 17.58)
cn04 - ACTION2: count 223, levels completed 1, avg fps 17.55)
cn04 - ACTION2: count 224, levels completed 1, avg fps 17.57)
cn04 - ACTION2: count 225, levels completed 1, avg fps 17.59)
cn04 - ACTION2: count 226, levels completed 1, avg fps 17.6)
cn04 - ACTION2: count 227, levels completed 1, avg fps 17.61)
cn04 - ACTION2: count 228, levels completed 1, avg fps 17.63)
cn04 - ACTION2: count 229, levels completed 1, avg fps 17.67)
cn04 - ACTION2: count 230, levels completed 1, avg fps 17.71)
cn04 - ACTION2: count 231, levels completed 1, avg fps 17.71)
cn04 - ACTION2: count 232, levels completed 1, avg fps 17.74)
cn04 - RESET: count 233, levels completed 1, avg fps 17.8)
cn04 - ACTION1: count 234, levels completed 1, avg fps 17.88)
cn04 - ACTION2: count 235, levels completed 1, avg fps 17.84)
cn04 - ACTION2: count 236, levels completed 1, avg fps 17.85)
cn04 - ACTION2: count 237, levels completed 1, avg fps 17.86)
cn04 - ACTION2: count 238, levels completed 1, avg fps 17.87)
cn04 - ACTION2: count 239, levels completed 1, avg fps 17.88)
cn04 - ACTION2: count 240, levels completed 1, avg fps 17.88)
cn04 - ACTION2: count 241, levels completed 1, avg fps 17.9)
cn04 - ACTION2: count 242, levels completed 1, avg fps 17.93)
cn04 - ACTION2: count 243, levels completed 1, avg fps 17.95)
cn04 - ACTION2: count 244, levels completed 1, avg fps 17.95)
cn04 - ACTION2: count 245, levels completed 1, avg fps 17.92)
cn04 - ACTION2: count 246, levels completed 1, avg fps 17.94)
cn04 - ACTION2: count 247, levels completed 1, avg fps 17.95)
cn04 - ACTION2: count 248, levels completed 1, avg fps 17.97)
cn04 - ACTION2: count 249, levels completed 1, avg fps 17.99)
cn04 - ACTION2: count 250, levels completed 1, avg fps 18.0)
cn04 - ACTION2: count 251, levels completed 1, avg fps 18.02)
cn04 - ACTION2: count 252, levels completed 1, avg fps 18.04)
cn04 - ACTION2: count 253, levels completed 1, avg fps 18.06)
cn04 - ACTION2: count 254, levels completed 1, avg fps 18.07)
cn04 - ACTION2: count 255, levels completed 1, avg fps 18.0)
cn04 - ACTION2: count 256, levels completed 1, avg fps 17.99)
cn04 - ACTION2: count 257, levels completed 1, avg fps 18.01)
cn04 - ACTION2: count 258, levels completed 1, avg fps 18.04)
cn04 - ACTION2: count 259, levels completed 1, avg fps 18.02)
cn04 - ACTION2: count 260, levels completed 1, avg fps 18.03)
cn04 - ACTION2: count 261, levels completed 1, avg fps 18.05)
cn04 - ACTION2: count 262, levels completed 1, avg fps 18.06)
cn04 - ACTION2: count 263, levels completed 1, avg fps 18.08)
cn04 - ACTION2: count 264, levels completed 1, avg fps 18.08)
cn04 - ACTION2: count 265, levels completed 1, avg fps 18.04)
cn04 - ACTION2: count 266, levels completed 1, avg fps 18.06)
cn04 - ACTION2: count 267, levels completed 1, avg fps 18.08)
cn04 - ACTION2: count 268, levels completed 1, avg fps 18.11)
cn04 - ACTION2: count 269, levels completed 1, avg fps 18.1)
cn04 - ACTION2: count 270, levels completed 1, avg fps 18.12)
cn04 - ACTION2: count 271, levels completed 1, avg fps 18.14)
cn04 - ACTION2: count 272, levels completed 1, avg fps 18.15)
cn04 - ACTION2: count 273, levels completed 1, avg fps 18.16)
cn04 - ACTION2: count 274, levels completed 1, avg fps 18.17)
cn04 - ACTION2: count 275, levels completed 1, avg fps 18.14)
cn04 - ACTION2: count 276, levels completed 1, avg fps 18.16)
cn04 - ACTION2: count 277, levels completed 1, avg fps 18.18)
cn04 - ACTION2: count 278, levels completed 1, avg fps 18.17)
cn04 - ACTION2: count 279, levels completed 1, avg fps 18.19)
cn04 - ACTION2: count 280, levels completed 1, avg fps 18.21)
cn04 - ACTION2: count 281, levels completed 1, avg fps 18.22)
cn04 - ACTION2: count 282, levels completed 1, avg fps 18.23)
cn04 - ACTION2: count 283, levels completed 1, avg fps 18.25)
cn04 - ACTION2: count 284, levels completed 1, avg fps 18.25)
cn04 - ACTION2: count 285, levels completed 1, avg fps 18.23)
cn04 - ACTION2: count 286, levels completed 1, avg fps 18.24)
cn04 - ACTION2: count 287, levels completed 1, avg fps 18.25)
cn04 - ACTION2: count 288, levels completed 1, avg fps 18.26)
cn04 - ACTION2: count 289, levels completed 1, avg fps 18.28)
cn04 - ACTION2: count 290, levels completed 1, avg fps 18.28)
cn04 - ACTION2: count 291, levels completed 1, avg fps 18.3)
cn04 - ACTION2: count 292, levels completed 1, avg fps 18.32)
cn04 - ACTION2: count 293, levels completed 1, avg fps 18.32)
cn04 - ACTION2: count 294, levels completed 1, avg fps 18.35)
cn04 - ACTION2: count 295, levels completed 1, avg fps 18.3)
cn04 - ACTION2: count 296, levels completed 1, avg fps 18.32)
cn04 - ACTION2: count 297, levels completed 1, avg fps 18.32)
cn04 - ACTION2: count 298, levels completed 1, avg fps 18.34)
cn04 - ACTION2: count 299, levels completed 1, avg fps 18.35)
cn04 - ACTION2: count 300, levels completed 1, avg fps 18.36)
cn04 - ACTION2: count 301, levels completed 1, avg fps 18.38)
cn04 - ACTION2: count 302, levels completed 1, avg fps 18.4)
cn04 - ACTION2: count 303, levels completed 1, avg fps 18.4)
cn04 - ACTION2: count 304, levels completed 1, avg fps 18.41)
cn04 - ACTION2: count 305, levels completed 1, avg fps 18.4)
cn04 - ACTION2: count 306, levels completed 1, avg fps 18.39)
cn04 - ACTION2: count 307, levels completed 1, avg fps 18.41)
cn04 - ACTION2: count 308, levels completed 1, avg fps 18.42)
cn04 - ACTION2: count 309, levels completed 1, avg fps 18.43)
cn04 - ACTION2: count 310, levels completed 1, avg fps 18.44)
cn04 - ACTION2: count 311, levels completed 1, avg fps 18.47)
cn04 - ACTION2: count 312, levels completed 1, avg fps 18.48)
cn04 - ACTION2: count 313, levels completed 1, avg fps 18.5)
cn04 - ACTION2: count 314, levels completed 1, avg fps 18.5)
cn04 - ACTION2: count 315, levels completed 1, avg fps 18.48)
cn04 - ACTION2: count 316, levels completed 1, avg fps 18.48)
cn04 - ACTION2: count 317, levels completed 1, avg fps 18.49)
cn04 - ACTION2: count 318, levels completed 1, avg fps 18.51)
cn04 - ACTION2: count 319, levels completed 1, avg fps 18.51)
cn04 - ACTION2: count 320, levels completed 1, avg fps 18.53)
cn04 - ACTION2: count 321, levels completed 1, avg fps 18.54)
cn04 - ACTION2: count 322, levels completed 1, avg fps 18.55)
cn04 - ACTION2: count 323, levels completed 1, avg fps 18.52)
cn04 - ACTION2: count 324, levels completed 1, avg fps 18.54)
cn04 - ACTION2: count 325, levels completed 1, avg fps 18.5)
cn04 - ACTION2: count 326, levels completed 1, avg fps 18.5)
cn04 - ACTION2: count 327, levels completed 1, avg fps 18.52)
cn04 - ACTION2: count 328, levels completed 1, avg fps 18.52)
cn04 - ACTION2: count 329, levels completed 1, avg fps 18.52)
cn04 - ACTION2: count 330, levels completed 1, avg fps 18.54)
cn04 - ACTION2: count 331, levels completed 1, avg fps 18.56)
cn04 - ACTION2: count 332, levels completed 1, avg fps 18.57)
cn04 - ACTION2: count 333, levels completed 1, avg fps 18.58)
cn04 - RESET: count 334, levels completed 1, avg fps 18.64)
cn04 - ACTION1: count 335, levels completed 1, avg fps 18.69)
cn04 - ACTION2: count 336, levels completed 1, avg fps 18.65)
cn04 - ACTION2: count 337, levels completed 1, avg fps 18.67)
cn04 - ACTION2: count 338, levels completed 1, avg fps 18.69)
cn04 - ACTION2: count 339, levels completed 1, avg fps 18.68)
cn04 - ACTION2: count 340, levels completed 1, avg fps 18.69)
cn04 - ACTION2: count 341, levels completed 1, avg fps 18.7)
cn04 - ACTION2: count 342, levels completed 1, avg fps 18.7)
cn04 - ACTION2: count 343, levels completed 1, avg fps 18.7)
cn04 - ACTION2: count 344, levels completed 1, avg fps 18.72)
cn04 - ACTION2: count 345, levels completed 1, avg fps 18.73)
cn04 - ACTION2: count 346, levels completed 1, avg fps 18.7)
cn04 - ACTION2: count 347, levels completed 1, avg fps 18.71)
cn04 - ACTION2: count 348, levels completed 1, avg fps 18.72)
cn04 - ACTION2: count 349, levels completed 1, avg fps 18.72)
cn04 - ACTION2: count 350, levels completed 1, avg fps 18.74)
cn04 - ACTION2: count 351, levels completed 1, avg fps 18.74)
cn04 - ACTION2: count 352, levels completed 1, avg fps 18.75)
cn04 - ACTION2: count 353, levels completed 1, avg fps 18.77)
cn04 - ACTION2: count 354, levels completed 1, avg fps 18.78)
cn04 - ACTION2: count 355, levels completed 1, avg fps 18.78)
cn04 - ACTION2: count 356, levels completed 1, avg fps 18.76)
cn04 - ACTION2: count 357, levels completed 1, avg fps 18.76)
cn04 - ACTION2: count 358, levels completed 1, avg fps 18.77)
cn04 - ACTION2: count 359, levels completed 1, avg fps 18.78)
cn04 - ACTION2: count 360, levels completed 1, avg fps 18.79)
cn04 - ACTION2: count 361, levels completed 1, avg fps 18.79)
cn04 - ACTION2: count 362, levels completed 1, avg fps 18.81)
cn04 - ACTION2: count 363, levels completed 1, avg fps 18.82)
cn04 - ACTION2: count 364, levels completed 1, avg fps 18.82)
cn04 - ACTION2: count 365, levels completed 1, avg fps 18.83)
cn04 - ACTION2: count 366, levels completed 1, avg fps 18.8)
cn04 - ACTION2: count 367, levels completed 1, avg fps 18.81)
cn04 - ACTION2: count 368, levels completed 1, avg fps 18.82)
cn04 - ACTION2: count 369, levels completed 1, avg fps 18.83)
cn04 - ACTION2: count 370, levels completed 1, avg fps 18.84)
cn04 - ACTION2: count 371, levels completed 1, avg fps 18.85)
cn04 - ACTION2: count 372, levels completed 1, avg fps 18.86)
cn04 - ACTION2: count 373, levels completed 1, avg fps 18.89)
cn04 - ACTION2: count 374, levels completed 1, avg fps 18.88)
cn04 - ACTION2: count 375, levels completed 1, avg fps 18.89)
cn04 - ACTION2: count 376, levels completed 1, avg fps 18.86)
cn04 - ACTION2: count 377, levels completed 1, avg fps 18.87)
cn04 - ACTION2: count 378, levels completed 1, avg fps 18.88)
cn04 - ACTION2: count 379, levels completed 1, avg fps 18.88)
cn04 - ACTION2: count 380, levels completed 1, avg fps 18.9)
cn04 - ACTION2: count 381, levels completed 1, avg fps 18.9)
cn04 - ACTION2: count 382, levels completed 1, avg fps 18.91)
cn04 - ACTION2: count 383, levels completed 1, avg fps 18.92)
cn04 - ACTION2: count 384, levels completed 1, avg fps 18.93)
cn04 - ACTION2: count 385, levels completed 1, avg fps 18.93)
cn04 - ACTION2: count 386, levels completed 1, avg fps 18.92)
cn04 - ACTION2: count 387, levels completed 1, avg fps 18.91)
cn04 - ACTION2: count 388, levels completed 1, avg fps 18.92)
cn04 - ACTION2: count 389, levels completed 1, avg fps 18.94)
cn04 - ACTION2: count 390, levels completed 1, avg fps 18.93)
cn04 - ACTION2: count 391, levels completed 1, avg fps 18.94)
cn04 - ACTION2: count 392, levels completed 1, avg fps 18.96)
cn04 - ACTION2: count 393, levels completed 1, avg fps 18.97)
cn04 - ACTION2: count 394, levels completed 1, avg fps 18.97)
cn04 - ACTION2: count 395, levels completed 1, avg fps 18.98)
cn04 - ACTION2: count 396, levels completed 1, avg fps 18.96)
cn04 - ACTION2: count 397, levels completed 1, avg fps 18.96)
