INFO:arc_agi.scorecard:Initialized ScorecardManager with idle_for=0:15:00 and max_open_for=3 days, 0:00:00
2026-08-13 16:19:19 | INFO | Got anonymous API key: c7eeb35f-f10c-4bbb-a25e-b525828dd139
Got anonymous API key: c7eeb35f-f10c-4bbb-a25e-b525828dd139
2026-08-13 16:19:19 | INFO | You can register for an API key at https://three.arcprize.org
You can register for an API key at https://three.arcprize.org
2026-08-13 16:19:20 | INFO | Successfully fetched 25 environment(s) from API
Successfully fetched 25 environment(s) from API
=== [1/1] ls20 ===
2026-08-13 16:19:20 | INFO | Created new scorecard: d8a789b1-046d-43fb-b058-bb247d2fa89b
Created new scorecard: d8a789b1-046d-43fb-b058-bb247d2fa89b
2026-08-13 16:19:21 | INFO | Successfully fetched metadata for game ls20
Successfully fetched metadata for game ls20
2026-08-13 16:19:22 | INFO | Successfully downloaded game ls20 (version: 9607627b) to environment_files\ls20\9607627b
Successfully downloaded game ls20 (version: 9607627b) to environment_files\ls20\9607627b
2026-08-13 16:19:22 | INFO | Successfully loaded game class Ls20 from environment_files\ls20\9607627b\ls20.py
Successfully loaded game class Ls20 from environment_files\ls20\9607627b\ls20.py
ls20 - RESET: count 0, levels completed 0, avg fps 0.0)
ls20 - ACTION2: count 35, levels completed 1, avg fps 35.35)
ls20 - ACTION2: count 36, levels completed 1, avg fps 35.64)
ls20 - ACTION2: count 37, levels completed 1, avg fps 35.58)
ls20 - ACTION2: count 38, levels completed 1, avg fps 35.19)
ls20 - ACTION2: count 39, levels completed 1, avg fps 34.51)
ls20 - ACTION2: count 40, levels completed 1, avg fps 34.19)
ls20 - ACTION2: count 41, levels completed 1, avg fps 32.28)
ls20 - ACTION3: count 42, levels completed 1, avg fps 32.06)
ls20 - ACTION3: count 43, levels completed 1, avg fps 31.62)
ls20 - ACTION4: count 44, levels completed 1, avg fps 30.34)
ls20 - ACTION1: count 45, levels completed 1, avg fps 30.2)
ls20 - ACTION4: count 46, levels completed 1, avg fps 30.26)
ls20 - ACTION1: count 47, levels completed 1, avg fps 29.01)
ls20 - ACTION2: count 48, levels completed 1, avg fps 29.27)
ls20 - ACTION1: count 49, levels completed 1, avg fps 28.82)
ls20 - ACTION1: count 50, levels completed 1, avg fps 28.9)
ls20 - ACTION1: count 51, levels completed 1, avg fps 28.81)
ls20 - ACTION1: count 52, levels completed 1, avg fps 28.73)
ls20 - ACTION1: count 53, levels completed 1, avg fps 28.65)
ls20 - ACTION1: count 54, levels completed 1, avg fps 28.72)
ls20 - ACTION1: count 55, levels completed 1, avg fps 28.65)
ls20 - ACTION3: count 56, levels completed 1, avg fps 28.72)
ls20 - ACTION3: count 57, levels completed 1, avg fps 28.79)
ls20 - ACTION3: count 58, levels completed 1, avg fps 29.0)
ls20 - ACTION3: count 59, levels completed 1, avg fps 29.06)
ls20 - ACTION3: count 60, levels completed 1, avg fps 29.13)
ls20 - ACTION3: count 61, levels completed 1, avg fps 29.33)
ls20 - ACTION2: count 62, levels completed 1, avg fps 29.38)
ls20 - ACTION3: count 63, levels completed 1, avg fps 29.44)
ls20 - ACTION2: count 64, levels completed 1, avg fps 29.22)
ls20 - ACTION2: count 65, levels completed 1, avg fps 29.28)
ls20 - ACTION2: count 66, levels completed 1, avg fps 29.46)
ls20 - ACTION2: count 67, levels completed 1, avg fps 29.52)
ls20 - ACTION2: count 68, levels completed 2, avg fps 29.57)
ls20 - ACTION2: count 69, levels completed 2, avg fps 29.74)
ls20 - ACTION1: count 70, levels completed 2, avg fps 29.54)
ls20 - ACTION1: count 71, levels completed 2, avg fps 29.58)
ls20 - ACTION1: count 72, levels completed 2, avg fps 29.63)
ls20 - ACTION1: count 73, levels completed 2, avg fps 29.67)
ls20 - ACTION1: count 74, levels completed 2, avg fps 29.84)
ls20 - ACTION1: count 75, levels completed 2, avg fps 29.88)
ls20 - ACTION1: count 76, levels completed 2, avg fps 29.92)
ls20 - ACTION1: count 77, levels completed 2, avg fps 29.96)
ls20 - ACTION3: count 78, levels completed 2, avg fps 29.1)
ls20 - ACTION2: count 79, levels completed 2, avg fps 29.04)
ls20 - ACTION2: count 80, levels completed 2, avg fps 29.09)
ls20 - ACTION2: count 81, levels completed 2, avg fps 29.14)
ls20 - ACTION2: count 82, levels completed 2, avg fps 29.18)
ls20 - ACTION2: count 83, levels completed 2, avg fps 29.23)
ls20 - ACTION2: count 84, levels completed 2, avg fps 29.27)
ls20 - ACTION2: count 85, levels completed 2, avg fps 29.31)
ls20 - ACTION2: count 86, levels completed 2, avg fps 29.45)
ls20 - ACTION1: count 87, levels completed 2, avg fps 28.9)
ls20 - ACTION1: count 88, levels completed 2, avg fps 29.04)
ls20 - ACTION1: count 89, levels completed 2, avg fps 29.08)
ls20 - ACTION3: count 90, levels completed 2, avg fps 29.13)
ls20 - ACTION1: count 91, levels completed 2, avg fps 27.91)
ls20 - ACTION1: count 92, levels completed 2, avg fps 27.88)
ls20 - ACTION1: count 93, levels completed 2, avg fps 27.93)
ls20 - ACTION1: count 94, levels completed 2, avg fps 27.98)
ls20 - ACTION1: count 95, levels completed 2, avg fps 27.86)
ls20 - ACTION1: count 96, levels completed 2, avg fps 27.75)
ls20 - ACTION1: count 97, levels completed 2, avg fps 27.64)
ls20 - ACTION1: count 98, levels completed 2, avg fps 27.61)
ls20 - ACTION3: count 99, levels completed 2, avg fps 26.33)
ls20 - ACTION2: count 100, levels completed 2, avg fps 26.25)
ls20 - ACTION2: count 101, levels completed 2, avg fps 26.23)
ls20 - ACTION4: count 102, levels completed 2, avg fps 26.15)
ls20 - ACTION2: count 103, levels completed 2, avg fps 25.94)
ls20 - ACTION2: count 104, levels completed 2, avg fps 26.07)
ls20 - ACTION4: count 105, levels completed 2, avg fps 26.12)
ls20 - ACTION4: count 106, levels completed 2, avg fps 26.17)
ls20 - ACTION4: count 107, levels completed 2, avg fps 26.23)
ls20 - ACTION4: count 108, levels completed 2, avg fps 26.28)
ls20 - ACTION1: count 109, levels completed 2, avg fps 26.39)
ls20 - ACTION1: count 110, levels completed 2, avg fps 26.44)
ls20 - ACTION1: count 111, levels completed 2, avg fps 26.49)
ls20 - ACTION1: count 112, levels completed 2, avg fps 26.48)
ls20 - ACTION1: count 113, levels completed 2, avg fps 25.86)
ls20 - ACTION1: count 114, levels completed 2, avg fps 25.79)
ls20 - ACTION1: count 115, levels completed 2, avg fps 25.84)
ls20 - ACTION1: count 116, levels completed 2, avg fps 25.89)
ls20 - ACTION1: count 117, levels completed 2, avg fps 25.94)
ls20 - ACTION1: count 118, levels completed 2, avg fps 26.05)
ls20 - ACTION3: count 119, levels completed 2, avg fps 26.1)
ls20 - ACTION1: count 120, levels completed 2, avg fps 26.14)
ls20 - ACTION1: count 121, levels completed 2, avg fps 26.19)
ls20 - ACTION4: count 122, levels completed 2, avg fps 26.18)
ls20 - ACTION1: count 123, levels completed 2, avg fps 25.57)
ls20 - ACTION1: count 124, levels completed 2, avg fps 25.51)
ls20 - ACTION1: count 125, levels completed 2, avg fps 25.15)
ls20 - ACTION1: count 126, levels completed 2, avg fps 25.2)
ls20 - ACTION1: count 127, levels completed 2, avg fps 25.25)
ls20 - ACTION1: count 128, levels completed 2, avg fps 25.3)
ls20 - ACTION1: count 129, levels completed 2, avg fps 25.34)
ls20 - ACTION1: count 130, levels completed 2, avg fps 25.44)
ls20 - ACTION1: count 131, levels completed 2, avg fps 25.49)
ls20 - ACTION1: count 132, levels completed 2, avg fps 25.48)
ls20 - ACTION3: count 133, levels completed 2, avg fps 25.0)
ls20 - ACTION2: count 134, levels completed 2, avg fps 24.91)
ls20 - ACTION2: count 135, levels completed 2, avg fps 24.91)
ls20 - ACTION3: count 136, levels completed 2, avg fps 24.91)
ls20 - ACTION3: count 137, levels completed 2, avg fps 25.0)
ls20 - ACTION2: count 138, levels completed 2, avg fps 25.05)
ls20 - ACTION2: count 139, levels completed 2, avg fps 25.09)
ls20 - ACTION2: count 140, levels completed 2, avg fps 25.13)
ls20 - ACTION4: count 141, levels completed 2, avg fps 25.18)
ls20 - ACTION4: count 142, levels completed 2, avg fps 25.18)
ls20 - ACTION2: count 143, levels completed 2, avg fps 25.22)
ls20 - ACTION2: count 144, levels completed 2, avg fps 25.26)
ls20 - ACTION2: count 145, levels completed 2, avg fps 25.31)
ls20 - ACTION1: count 146, levels completed 2, avg fps 25.35)
ls20 - ACTION1: count 147, levels completed 2, avg fps 25.3)
ls20 - ACTION1: count 148, levels completed 2, avg fps 25.34)
ls20 - ACTION4: count 149, levels completed 2, avg fps 25.43)
ls20 - ACTION1: count 150, levels completed 2, avg fps 25.47)
ls20 - ACTION1: count 151, levels completed 2, avg fps 25.51)
ls20 - ACTION1: count 152, levels completed 2, avg fps 25.55)
ls20 - ACTION2: count 153, levels completed 2, avg fps 25.59)
ls20 - ACTION2: count 154, levels completed 2, avg fps 25.67)
ls20 - ACTION4: count 155, levels completed 2, avg fps 25.7)
ls20 - ACTION4: count 156, levels completed 2, avg fps 25.74)
ls20 - ACTION4: count 157, levels completed 2, avg fps 25.78)
ls20 - ACTION4: count 158, levels completed 2, avg fps 25.86)
ls20 - ACTION1: count 159, levels completed 2, avg fps 25.9)
ls20 - ACTION1: count 160, levels completed 2, avg fps 25.93)
ls20 - ACTION3: count 161, levels completed 2, avg fps 25.97)
ls20 - ACTION1: count 162, levels completed 2, avg fps 26.05)
ls20 - ACTION3: count 163, levels completed 2, avg fps 26.08)
ls20 - ACTION4: count 164, levels completed 2, avg fps 26.11)
ls20 - ACTION4: count 165, levels completed 2, avg fps 26.15)
ls20 - ACTION1: count 166, levels completed 2, avg fps 26.18)
ls20 - ACTION2: count 167, levels completed 3, avg fps 25.89)
ls20 - ACTION1: count 168, levels completed 3, avg fps 26.01)
ls20 - ACTION3: count 169, levels completed 3, avg fps 26.0)
ls20 - ACTION3: count 170, levels completed 3, avg fps 26.03)
ls20 - ACTION3: count 171, levels completed 3, avg fps 26.07)
ls20 - ACTION2: count 172, levels completed 3, avg fps 26.1)
ls20 - ACTION3: count 173, levels completed 3, avg fps 26.13)
ls20 - ACTION2: count 174, levels completed 3, avg fps 26.2)
ls20 - ACTION2: count 175, levels completed 3, avg fps 26.2)
ls20 - ACTION3: count 176, levels completed 3, avg fps 25.92)
ls20 - ACTION3: count 177, levels completed 3, avg fps 25.88)
ls20 - ACTION1: count 178, levels completed 3, avg fps 25.5)
ls20 - ACTION2: count 179, levels completed 3, avg fps 25.14)
ls20 - ACTION3: count 180, levels completed 3, avg fps 25.1)
ls20 - ACTION3: count 181, levels completed 3, avg fps 25.1)
ls20 - ACTION3: count 182, levels completed 3, avg fps 25.17)
ls20 - ACTION3: count 183, levels completed 3, avg fps 25.21)
ls20 - ACTION1: count 184, levels completed 3, avg fps 25.24)
ls20 - ACTION1: count 185, levels completed 3, avg fps 25.27)
ls20 - ACTION1: count 186, levels completed 3, avg fps 25.31)
ls20 - ACTION1: count 187, levels completed 3, avg fps 25.37)
ls20 - ACTION1: count 188, levels completed 3, avg fps 25.41)
ls20 - ACTION4: count 189, levels completed 3, avg fps 25.44)
ls20 - ACTION4: count 190, levels completed 3, avg fps 25.47)
ls20 - ACTION1: count 191, levels completed 3, avg fps 25.5)
ls20 - ACTION4: count 192, levels completed 3, avg fps 25.53)
ls20 - ACTION4: count 193, levels completed 3, avg fps 25.56)
ls20 - ACTION4: count 194, levels completed 3, avg fps 25.59)
ls20 - ACTION2: count 195, levels completed 3, avg fps 25.62)
ls20 - ACTION2: count 196, levels completed 3, avg fps 25.65)
ls20 - ACTION2: count 197, levels completed 3, avg fps 25.42)
ls20 - ACTION2: count 198, levels completed 3, avg fps 25.38)
ls20 - ACTION2: count 199, levels completed 3, avg fps 25.42)
ls20 - ACTION2: count 200, levels completed 3, avg fps 25.45)
ls20 - ACTION4: count 201, levels completed 3, avg fps 25.0)
ls20 - ACTION3: count 202, levels completed 3, avg fps 24.88)
ls20 - ACTION2: count 203, levels completed 3, avg fps 24.91)
ls20 - ACTION2: count 204, levels completed 3, avg fps 24.94)
ls20 - ACTION3: count 205, levels completed 3, avg fps 25.0)
ls20 - ACTION3: count 206, levels completed 3, avg fps 25.03)
ls20 - ACTION3: count 207, levels completed 3, avg fps 25.06)
ls20 - ACTION3: count 208, levels completed 3, avg fps 25.09)
ls20 - ACTION4: count 209, levels completed 3, avg fps 25.06)
ls20 - ACTION4: count 210, levels completed 3, avg fps 25.09)
ls20 - ACTION4: count 211, levels completed 3, avg fps 25.12)
ls20 - ACTION2: count 212, levels completed 3, avg fps 25.15)
ls20 - ACTION3: count 213, levels completed 3, avg fps 24.94)
ls20 - ACTION3: count 214, levels completed 3, avg fps 24.91)
ls20 - ACTION1: count 215, levels completed 3, avg fps 24.71)
ls20 - ACTION4: count 216, levels completed 3, avg fps 24.49)
ls20 - ACTION4: count 217, levels completed 3, avg fps 24.46)
ls20 - ACTION4: count 218, levels completed 3, avg fps 24.3)
ls20 - ACTION4: count 219, levels completed 3, avg fps 24.28)
ls20 - ACTION2: count 220, levels completed 3, avg fps 24.1)
ls20 - ACTION3: count 221, levels completed 3, avg fps 24.1)
ls20 - ACTION3: count 222, levels completed 3, avg fps 24.13)
ls20 - ACTION1: count 223, levels completed 3, avg fps 24.16)
ls20 - ACTION1: count 224, levels completed 3, avg fps 23.96)
ls20 - ACTION2: count 225, levels completed 3, avg fps 23.73)
ls20 - ACTION1: count 226, levels completed 3, avg fps 23.52)
ls20 - ACTION2: count 227, levels completed 3, avg fps 23.31)
ls20 - ACTION1: count 228, levels completed 3, avg fps 23.1)
ls20 - ACTION2: count 229, levels completed 3, avg fps 22.9)
ls20 - ACTION1: count 230, levels completed 3, avg fps 22.7)
ls20 - ACTION2: count 231, levels completed 3, avg fps 22.49)
ls20 - ACTION1: count 232, levels completed 3, avg fps 22.29)
ls20 - ACTION2: count 233, levels completed 3, avg fps 22.06)
ls20 - ACTION1: count 234, levels completed 3, avg fps 21.89)
ls20 - ACTION2: count 235, levels completed 3, avg fps 21.64)
ls20 - ACTION1: count 236, levels completed 3, avg fps 21.47)
ls20 - ACTION2: count 237, levels completed 3, avg fps 21.31)
ls20 - ACTION1: count 238, levels completed 3, avg fps 21.1)
ls20 - ACTION3: count 239, levels completed 3, avg fps 20.89)
ls20 - ACTION4: count 240, levels completed 3, avg fps 20.73)
ls20 - ACTION2: count 241, levels completed 3, avg fps 20.72)
ls20 - ACTION4: count 242, levels completed 3, avg fps 20.75)
ls20 - ACTION4: count 243, levels completed 3, avg fps 20.79)
ls20 - ACTION1: count 244, levels completed 3, avg fps 20.77)
ls20 - ACTION1: count 245, levels completed 3, avg fps 20.78)
ls20 - ACTION4: count 246, levels completed 3, avg fps 20.81)
ls20 - ACTION4: count 247, levels completed 3, avg fps 20.83)
ls20 - ACTION4: count 248, levels completed 3, avg fps 20.75)
ls20 - ACTION4: count 249, levels completed 3, avg fps 20.73)
ls20 - ACTION2: count 250, levels completed 3, avg fps 20.66)
ls20 - ACTION3: count 251, levels completed 3, avg fps 20.66)
ls20 - ACTION3: count 252, levels completed 3, avg fps 20.69)
ls20 - ACTION1: count 253, levels completed 3, avg fps 20.72)
ls20 - ACTION1: count 254, levels completed 3, avg fps 20.62)
ls20 - ACTION2: count 255, levels completed 3, avg fps 20.48)
ls20 - ACTION1: count 256, levels completed 3, avg fps 20.35)
ls20 - ACTION2: count 257, levels completed 3, avg fps 20.2)
ls20 - ACTION1: count 258, levels completed 3, avg fps 20.08)
ls20 - ACTION2: count 259, levels completed 3, avg fps 19.97)
ls20 - ACTION1: count 260, levels completed 3, avg fps 19.85)
ls20 - ACTION2: count 261, levels completed 3, avg fps 19.73)
ls20 - ACTION1: count 262, levels completed 3, avg fps 19.63)
ls20 - ACTION2: count 263, levels completed 3, avg fps 19.51)
ls20 - ACTION1: count 264, levels completed 3, avg fps 19.35)
ls20 - ACTION2: count 265, levels completed 3, avg fps 19.26)
ls20 - ACTION1: count 266, levels completed 3, avg fps 19.16)
ls20 - ACTION2: count 267, levels completed 3, avg fps 19.06)
ls20 - ACTION1: count 268, levels completed 3, avg fps 18.97)
ls20 - ACTION2: count 269, levels completed 3, avg fps 18.86)
ls20 - ACTION1: count 270, levels completed 3, avg fps 18.75)
ls20 - ACTION2: count 271, levels completed 3, avg fps 18.65)
ls20 - ACTION1: count 272, levels completed 3, avg fps 18.57)
ls20 - ACTION2: count 273, levels completed 3, avg fps 18.47)
ls20 - ACTION4: count 274, levels completed 3, avg fps 18.34)
ls20 - ACTION1: count 275, levels completed 3, avg fps 18.36)
ls20 - ACTION3: count 276, levels completed 3, avg fps 18.39)
ls20 - ACTION1: count 277, levels completed 3, avg fps 18.28)
ls20 - ACTION2: count 278, levels completed 3, avg fps 18.22)
ls20 - ACTION2: count 279, levels completed 3, avg fps 18.24)
ls20 - ACTION4: count 280, levels completed 3, avg fps 18.12)
ls20 - ACTION1: count 281, levels completed 3, avg fps 18.13)
ls20 - ACTION3: count 282, levels completed 3, avg fps 18.15)
ls20 - ACTION1: count 283, levels completed 3, avg fps 18.04)
ls20 - ACTION2: count 284, levels completed 3, avg fps 17.97)
ls20 - ACTION1: count 285, levels completed 3, avg fps 18.02)
ls20 - ACTION4: count 286, levels completed 3, avg fps 17.99)
ls20 - ACTION3: count 287, levels completed 3, avg fps 17.95)
ls20 - ACTION3: count 288, levels completed 3, avg fps 17.98)
ls20 - ACTION3: count 289, levels completed 3, avg fps 18.01)
ls20 - ACTION2: count 290, levels completed 3, avg fps 18.03)
ls20 - ACTION2: count 291, levels completed 3, avg fps 18.06)
ls20 - ACTION2: count 292, levels completed 3, avg fps 18.09)
ls20 - ACTION3: count 293, levels completed 3, avg fps 18.11)
ls20 - ACTION2: count 294, levels completed 3, avg fps 18.04)
ls20 - ACTION2: count 295, levels completed 3, avg fps 18.04)
ls20 - ACTION3: count 296, levels completed 3, avg fps 18.07)
ls20 - ACTION3: count 297, levels completed 3, avg fps 18.1)
ls20 - ACTION1: count 298, levels completed 3, avg fps 18.12)
ls20 - ACTION1: count 299, levels completed 3, avg fps 17.99)
ls20 - ACTION3: count 300, levels completed 3, avg fps 17.88)
ls20 - ACTION3: count 301, levels completed 3, avg fps 17.87)
ls20 - ACTION1: count 302, levels completed 3, avg fps 17.76)
ls20 - ACTION2: count 303, levels completed 3, avg fps 17.62)
ls20 - ACTION3: count 304, levels completed 3, avg fps 17.62)
ls20 - ACTION3: count 305, levels completed 3, avg fps 17.65)
ls20 - ACTION1: count 306, levels completed 3, avg fps 17.66)
ls20 - ACTION1: count 307, levels completed 3, avg fps 17.55)
ls20 - ACTION1: count 308, levels completed 3, avg fps 17.44)
ls20 - ACTION2: count 309, levels completed 3, avg fps 17.38)
ls20 - ACTION2: count 310, levels completed 3, avg fps 17.39)
ls20 - ACTION4: count 311, levels completed 3, avg fps 17.28)
ls20 - ACTION1: count 312, levels completed 3, avg fps 17.28)
ls20 - ACTION1: count 313, levels completed 3, avg fps 17.29)
ls20 - ACTION1: count 314, levels completed 3, avg fps 17.32)
ls20 - ACTION1: count 315, levels completed 3, avg fps 17.34)
ls20 - ACTION4: count 316, levels completed 3, avg fps 17.35)
ls20 - ACTION1: count 317, levels completed 3, avg fps 17.37)
ls20 - ACTION4: count 318, levels completed 3, avg fps 17.39)
ls20 - ACTION4: count 319, levels completed 3, avg fps 17.4)
ls20 - ACTION4: count 320, levels completed 3, avg fps 17.42)
ls20 - ACTION2: count 321, levels completed 3, avg fps 17.44)
ls20 - ACTION2: count 322, levels completed 3, avg fps 17.35)
ls20 - ACTION2: count 323, levels completed 3, avg fps 17.35)
ls20 - ACTION3: count 324, levels completed 3, avg fps 17.37)
ls20 - ACTION3: count 325, levels completed 3, avg fps 17.39)
ls20 - ACTION1: count 326, levels completed 3, avg fps 17.41)
ls20 - ACTION2: count 327, levels completed 3, avg fps 17.32)
ls20 - ACTION1: count 328, levels completed 3, avg fps 17.28)
ls20 - ACTION2: count 329, levels completed 3, avg fps 17.31)
ls20 - ACTION1: count 330, levels completed 3, avg fps 17.29)
ls20 - ACTION2: count 331, levels completed 3, avg fps 17.31)
ls20 - ACTION4: count 332, levels completed 3, avg fps 17.29)
ls20 - ACTION3: count 333, levels completed 3, avg fps 17.28)
ls20 - ACTION1: count 334, levels completed 3, avg fps 17.26)
ls20 - ACTION4: count 335, levels completed 3, avg fps 17.25)
ls20 - ACTION2: count 336, levels completed 3, avg fps 17.2)
ls20 - ACTION2: count 337, levels completed 3, avg fps 17.21)
ls20 - ACTION3: count 338, levels completed 3, avg fps 17.24)
ls20 - ACTION3: count 339, levels completed 3, avg fps 17.26)
ls20 - ACTION3: count 340, levels completed 3, avg fps 17.29)
ls20 - ACTION1: count 341, levels completed 3, avg fps 17.31)
ls20 - ACTION1: count 342, levels completed 3, avg fps 17.33)
ls20 - ACTION3: count 343, levels completed 3, avg fps 17.36)
ls20 - ACTION3: count 344, levels completed 3, avg fps 17.38)
ls20 - ACTION3: count 345, levels completed 4, avg fps 17.41)
ls20 - ACTION1: count 346, levels completed 4, avg fps 17.45)
ls20 - ACTION1: count 347, levels completed 4, avg fps 17.45)
ls20 - ACTION1: count 348, levels completed 4, avg fps 17.38)
ls20 - ACTION3: count 349, levels completed 4, avg fps 17.4)
ls20 - ACTION1: count 350, levels completed 4, avg fps 17.42)
ls20 - ACTION1: count 351, levels completed 4, avg fps 17.45)
ls20 - ACTION3: count 352, levels completed 4, avg fps 17.45)
ls20 - ACTION2: count 353, levels completed 4, avg fps 17.4)
ls20 - ACTION2: count 354, levels completed 4, avg fps 17.41)
ls20 - ACTION2: count 355, levels completed 4, avg fps 17.44)
ls20 - ACTION3: count 356, levels completed 4, avg fps 17.45)
ls20 - ACTION2: count 357, levels completed 4, avg fps 17.4)
ls20 - ACTION3: count 358, levels completed 4, avg fps 17.4)
ls20 - ACTION2: count 359, levels completed 4, avg fps 17.34)
ls20 - ACTION2: count 360, levels completed 4, avg fps 17.35)
ls20 - ACTION2: count 361, levels completed 4, avg fps 17.36)
ls20 - ACTION2: count 362, levels completed 4, avg fps 17.38)
ls20 - ACTION4: count 363, levels completed 4, avg fps 17.27)
ls20 - ACTION3: count 364, levels completed 4, avg fps 17.27)
ls20 - ACTION2: count 365, levels completed 4, avg fps 17.29)
ls20 - ACTION2: count 366, levels completed 4, avg fps 17.31)
ls20 - ACTION2: count 367, levels completed 4, avg fps 17.34)
ls20 - ACTION2: count 368, levels completed 4, avg fps 17.35)
ls20 - ACTION3: count 369, levels completed 4, avg fps 17.3)
ls20 - ACTION3: count 370, levels completed 4, avg fps 17.23)
ls20 - ACTION4: count 371, levels completed 4, avg fps 17.2)
ls20 - ACTION1: count 372, levels completed 4, avg fps 17.21)
ls20 - ACTION2: count 373, levels completed 4, avg fps 17.1)
ls20 - ACTION2: count 374, levels completed 4, avg fps 17.1)
ls20 - ACTION2: count 375, levels completed 4, avg fps 17.12)
ls20 - ACTION4: count 376, levels completed 4, avg fps 17.13)
ls20 - ACTION4: count 377, levels completed 4, avg fps 17.14)
ls20 - ACTION1: count 378, levels completed 4, avg fps 17.16)
ls20 - ACTION1: count 379, levels completed 4, avg fps 16.97)
ls20 - ACTION3: count 380, levels completed 4, avg fps 16.96)
ls20 - ACTION3: count 381, levels completed 4, avg fps 16.84)
ls20 - ACTION3: count 382, levels completed 4, avg fps 16.7)
ls20 - ACTION4: count 383, levels completed 4, avg fps 16.64)
ls20 - ACTION1: count 384, levels completed 4, avg fps 16.66)
ls20 - ACTION1: count 385, levels completed 4, avg fps 16.55)
ls20 - ACTION1: count 386, levels completed 4, avg fps 16.51)
ls20 - ACTION3: count 387, levels completed 4, avg fps 16.53)
ls20 - ACTION1: count 388, levels completed 4, avg fps 16.55)
ls20 - ACTION1: count 389, levels completed 4, avg fps 16.57)
ls20 - ACTION1: count 390, levels completed 4, avg fps 16.6)
ls20 - ACTION1: count 391, levels completed 4, avg fps 16.62)
ls20 - ACTION3: count 392, levels completed 4, avg fps 16.63)
ls20 - ACTION3: count 393, levels completed 4, avg fps 16.65)
ls20 - ACTION3: count 394, levels completed 4, avg fps 16.67)
ls20 - ACTION3: count 395, levels completed 4, avg fps 16.69)
ls20 - ACTION3: count 396, levels completed 4, avg fps 16.72)
ls20 - ACTION2: count 397, levels completed 4, avg fps 16.73)
ls20 - ACTION2: count 398, levels completed 4, avg fps 16.74)
